,Date,Company_Name,close
741,01/12/16,Tesla,209.97
742,01/13/16,Tesla,200.31
743,01/14/16,Tesla,206.18
744,01/15/16,Tesla,204.99
745,01/16/16,Tesla,
746,01/17/16,Tesla,
747,01/18/16,Tesla,
748,01/19/16,Tesla,204.72
749,01/20/16,Tesla,198.7
750,01/21/16,Tesla,199.97
751,01/22/16,Tesla,202.55
752,01/23/16,Tesla,
753,01/24/16,Tesla,
754,01/25/16,Tesla,196.38
755,01/26/16,Tesla,193.56
756,01/27/16,Tesla,188.07
757,01/28/16,Tesla,189.7
758,01/29/16,Tesla,191.2
759,01/30/16,Tesla,
760,01/31/16,Tesla,
761,02/01/16,Tesla,196.94
762,02/02/16,Tesla,182.78
763,02/03/16,Tesla,173.48
764,02/04/16,Tesla,175.33
765,02/05/16,Tesla,162.6
766,02/06/16,Tesla,
767,02/07/16,Tesla,
768,02/08/16,Tesla,147.99
769,02/09/16,Tesla,148.25
770,02/10/16,Tesla,143.67
771,02/11/16,Tesla,150.47
772,02/12/16,Tesla,151.04
773,02/13/16,Tesla,
774,02/14/16,Tesla,
775,02/15/16,Tesla,
776,02/16/16,Tesla,155.17
777,02/17/16,Tesla,168.68
778,02/18/16,Tesla,166.77
779,02/19/16,Tesla,166.58
780,02/20/16,Tesla,
781,02/21/16,Tesla,
782,02/22/16,Tesla,177.74
783,02/23/16,Tesla,177.21
784,02/24/16,Tesla,179.0
785,02/25/16,Tesla,187.43
786,02/26/16,Tesla,190.34
787,02/27/16,Tesla,
788,02/28/16,Tesla,
789,02/29/16,Tesla,191.93
790,03/01/16,Tesla,186.35
791,03/02/16,Tesla,188.34
792,03/03/16,Tesla,195.74
793,03/04/16,Tesla,201.04
794,03/05/16,Tesla,
795,03/06/16,Tesla,
796,03/07/16,Tesla,205.29
797,03/08/16,Tesla,202.6
798,03/09/16,Tesla,208.72
799,03/10/16,Tesla,205.18
800,03/11/16,Tesla,207.5
801,03/12/16,Tesla,
802,03/13/16,Tesla,
803,03/14/16,Tesla,215.15
804,03/15/16,Tesla,218.34
805,03/16/16,Tesla,221.93
806,03/17/16,Tesla,226.38
807,03/18/16,Tesla,232.74
808,03/19/16,Tesla,
809,03/20/16,Tesla,
810,03/21/16,Tesla,238.32
811,03/22/16,Tesla,234.24
812,03/23/16,Tesla,222.58
813,03/24/16,Tesla,227.75
814,03/25/16,Tesla,
815,03/26/16,Tesla,
816,03/27/16,Tesla,
817,03/28/16,Tesla,230.26
818,03/29/16,Tesla,230.13
819,03/30/16,Tesla,226.89
820,03/31/16,Tesla,229.77
821,04/01/16,Tesla,237.59
822,04/02/16,Tesla,
823,04/03/16,Tesla,
824,04/04/16,Tesla,246.99
825,04/05/16,Tesla,255.47
826,04/06/16,Tesla,265.42
827,04/07/16,Tesla,257.2
828,04/08/16,Tesla,250.07
829,04/09/16,Tesla,
830,04/10/16,Tesla,
831,04/11/16,Tesla,249.92
832,04/12/16,Tesla,247.82
833,04/13/16,Tesla,254.53
834,04/14/16,Tesla,251.86
835,04/15/16,Tesla,254.51
836,04/16/16,Tesla,
837,04/17/16,Tesla,
838,04/18/16,Tesla,253.88
839,04/19/16,Tesla,247.37
840,04/20/16,Tesla,249.97
841,04/21/16,Tesla,248.29
842,04/22/16,Tesla,253.75
843,04/23/16,Tesla,
844,04/24/16,Tesla,
845,04/25/16,Tesla,251.82
846,04/26/16,Tesla,253.74
847,04/27/16,Tesla,251.47
848,04/28/16,Tesla,247.71
849,04/29/16,Tesla,240.76
850,04/30/16,Tesla,
851,05/01/16,Tesla,
852,05/02/16,Tesla,241.8
853,05/03/16,Tesla,232.32
854,05/04/16,Tesla,222.56
855,05/05/16,Tesla,211.53
856,05/06/16,Tesla,214.93
857,05/07/16,Tesla,
858,05/08/16,Tesla,
859,05/09/16,Tesla,208.92
860,05/10/16,Tesla,208.69
861,05/11/16,Tesla,208.96
862,05/12/16,Tesla,207.28
863,05/13/16,Tesla,207.61
864,05/14/16,Tesla,
865,05/15/16,Tesla,
866,05/16/16,Tesla,208.29
867,05/17/16,Tesla,204.66
