Date,Open,High,Low,Close,Adj Close,Volume
2014-07-17,61925.000000,74800.000000,60250.000000,71975.000000,71975.000000,6400
2014-07-18,66675.000000,67625.000000,61500.000000,62500.000000,62500.000000,3800
2014-07-21,63725.000000,68025.000000,63350.000000,65425.000000,65425.000000,3200
2014-07-22,62250.000000,63725.000000,61125.000000,62650.000000,62650.000000,2400
2014-07-23,61950.000000,64400.000000,61700.000000,63700.000000,63700.000000,2200
2014-07-24,62725.000000,64900.000000,62525.000000,62950.000000,62950.000000,1900
2014-07-25,65000.000000,67425.000000,64825.000000,66650.000000,66650.000000,2600
2014-07-28,66000.000000,69675.000000,65275.000000,65875.000000,65875.000000,2900
2014-07-29,65350.000000,66925.000000,63550.000000,65550.000000,65550.000000,2800
2014-07-30,64325.000000,68400.000000,64000.000000,67900.000000,67900.000000,3700
2014-07-31,72325.000000,81075.000000,71525.000000,79250.000000,79250.000000,5600
2014-08-01,80275.000000,90325.000000,74375.000000,86825.000000,86825.000000,7200
2014-08-04,85050.000000,87350.000000,74875.000000,78850.000000,78850.000000,4500
2014-08-05,82000.000000,92500.000000,80100.000000,89700.000000,89700.000000,5400
2014-08-06,93250.000000,93600.000000,83475.000000,90500.000000,90500.000000,4600
2014-08-07,86075.000000,97775.000000,84700.000000,94425.000000,94425.000000,5700
2014-08-08,94650.000000,97125.000000,86200.000000,86850.000000,86850.000000,4000
2014-08-11,83325.000000,84100.000000,75275.000000,79800.000000,79800.000000,3400
2014-08-12,79025.000000,80500.000000,76125.000000,78475.000000,78475.000000,2900
2014-08-13,74650.000000,75650.000000,69375.000000,69700.000000,69700.000000,3400
2014-08-14,67950.000000,78300.000000,65100.000000,65225.000000,65225.000000,2600
2014-08-15,62500.000000,72175.000000,61575.000000,65000.000000,65000.000000,7800
2014-08-18,60975.000000,61850.000000,60125.000000,60250.000000,60250.000000,3100
2014-08-19,58725.000000,59800.000000,58300.000000,59050.000000,59050.000000,2500
2014-08-20,60600.000000,62250.000000,59350.000000,60000.000000,60000.000000,3600
